,Date,Shift,Line,Time,Best/ Worst/ Average,Percent Translucense,Area Translucense (sq in)
0,081622,A,F1,0840AM,best,0.02551331370975243,2.105253903489476
1,081622,A,F1,0840AM,worst,0.10741586939879064,8.863516551441881
2,081622,A,F1,0840AM,avg,0.041165635514649884,3.396819238878971
3,081622,A,F2,0845AM,best,0.013574989461110937,1.1201523987810367
4,081622,A,F2,0845AM,worst,0.1144521879198907,9.444124668492504
5,081622,A,F2,0845AM,avg,0.03809477804211663,3.1434246875220753
