Date,Shift,Line,Time,Size(in),Best/ Worst/ Average,Percent Overpressed,Area Overpressed,Percent Translucense,Area Translucense (sq in),Pass/Fail
022323,A,F1,426PM,10.25,best,0.4298455733005554,35.469091995790265,0.06081533681234481,5.018231918940273,Pass
022323,A,F1,426PM,10.25,worst,0.44798430865846595,36.96582596970785,0.1636574619720687,13.504341873089498,Fail
022323,A,F1,426PM,10.25,avg,0.42146505583242566,34.777566100183144,0.07190978202248359,5.9336999899014655,Pass
